 I3705 g2584
 I4465 g3222
 I4791 g3600
 I5774 g4307
 I5790 g4321
 g4111 g4422
 I6485 g4809
 I6789 g5137
 I7150 g5468
 I7153 g5469
 I7451 g5692
 I7996 g6282
 I8002 g6284
 I8144 g6360
 I8150 g6362
 I8156 g6364
 I8162 g6366
 I8168 g6368
 I8174 g6370
 I8180 g6372
 I8186 g6374
 I8878 g6728
 I2275 g1290
 I5445 g4121
 I5406 g4108
 I5400 g4106
 I5391 g4103
 I2284 g1293
 I5379 g4099
 I5388 g4102
 I5409 g4109
 I5382 g4100
 I5418 g4112
 I5397 g4105
 I5385 g4101
 I5412 g4110
 I5394 g4104
 I5403 g4107
 I5376 g4098
 I5472 g4130
 I9002 g6823
 I9233 g6940
 I7802 g6102
 I5523 g4147
 I6531 g4841
 I8869 g6725
 I4495 g3232
 I5439 g4119
 I5505 g4141
 I8872 g6726
 I8441 g6507
 I8638 g6590
 I4492 g3231
 I6992 g5330
 I6809 g5147
 I6525 g4839
 I7811 g6105
 I6792 g5138
 I5448 g4122
 I9014 g6827
 I8913 g6745
 I8229 g6405
 I8881 g6729
 I8653 g6595
 I9011 g6826
 I5484 g4134
 I8665 g6599
 I6579 g4857
 I8232 g6406
 I6812 g5148
 I5433 g4117
 I8614 g6582
 I4486 g3229
 g5663 g5488 g5700
 I5490 g4136
 I6582 g4858
 I7640 g5876
 I4516 g3239
 g5648 g5486 g5698
 I6986 g5328
 I5481 g4133
 I6549 g4847
 I7643 g5877
 I8659 g6597
 I5442 g4120
 I4504 g3235
 I5493 g4137
 I8235 g6407
 g5359 g5142 g5470
 I9044 g6841
 I5529 g4149
 I7799 g6101
 I6540 g4844
 I5421 g4113
 I8432 g6504
 I4471 g3224
 I6573 g4855
 I5923 g4424
 I7342 g5582
 I8426 g6502
 I7817 g6107
 g5361 g5144 g5472
 I8674 g6602
 I7339 g5581
 I8629 g6587
 I5517 g4145
 I3708 g2585
 I6534 g4842
 I3711 g2586
 I2278 g1291
 I5436 g4118
 I4474 g3225
 I6567 g4853
 I6555 g4849
 I8456 g6512
 I4498 g3233
 I6561 g4851
 I6576 g4856
 I9085 g6854
 I2907 g1831
 I6537 g4843
 I8450 g6510
 I8641 g6591
 I6546 g4846
 I2269 g1288
 I7170 g5478
 I9041 g6840
 I8650 g6594
 I7336 g5580
 I9082 g6853
 I6528 g4840
 I5532 g4150
 I7190 g5490
 I8453 g6511
 I5508 g4142
 I6543 g4845
 g5633 g5482 g5694
 I8860 g6722
 I5499 g4139
 I7176 g5480
 g5646 g5485 g5697
 I8414 g6498
 I5460 g4126
 g5360 g5143 g5471
 I8435 g6505
 I8632 g6588
 I7161 g5475
 I5526 g4148
 I8423 g6501
 I8438 g6506
 I5487 g4135
 I7173 g5479
 I9005 g6824
 I4519 g3240
 I7164 g5476
 I4489 g3230
 I8857 g6721
 I4480 g3227
 I9208 g6925
 I7167 g5477
 I7187 g5489
 I5475 g4131
 I8875 g6727
 I5502 g4140
 I9047 g6842
 I5920 g4423
 I8863 g6723
 I8866 g6724
 I5478 g4132
 I8217 g6401
 I7193 g5491
 I5463 g4127
 I7966 g6278
 I7814 g6106
 I8910 g6744
 I8226 g6404
 I5496 g4138
 I4483 g3228
 I2272 g1289
 I5451 g4123
 I6247 g4658
 I7646 g5878
 I5457 g4125
 I5454 g4124
 I7634 g5874
 I7805 g6103
 I2287 g1294
 I2281 g1292
 I5427 g4115
 I8620 g6584
 I8656 g6596
 I4477 g3226
 I3714 g2587
 I6244 g4657
 I8635 g6589
 I4501 g3234
 I4513 g3238
 I8644 g6592
 g5362 g5145 g5473
 I5424 g4114
 I8966 g6800
 I6801 g5141
 I6570 g4854
 I9038 g6839
 g5660 g5487 g5699
 I4507 g3236
 I8671 g6601
 I7637 g5875
 I5926 g4425
 I6989 g5329
 g5635 g5483 g5695
 I8417 g6499
 I9008 g6825
 g5632 g5481 g5693
 I6558 g4850
 I4510 g3237
 I8411 g6497
 I7796 g6100
 I8447 g6509
 I5466 g4128
 I5430 g4116
 I8429 g6503
 I4522 g3241
 I7963 g6277
 I6795 g5139
 I8662 g6598
 I8668 g6600
 I5469 g4129
 I8647 g6593
 I8969 g6801
 I5929 g4426
 g5363 g5146 g5474
 I6798 g5140
 g5637 g5484 g5696
 I6564 g4852
 I6552 g4848
 I6250 g4659
 I8617 g6583
 I8220 g6402
 I5514 g4144
 I7808 g6104
 I9236 g6941
 I8223 g6403
 I8420 g6500
 I8444 g6508
 I8626 g6586
 I5520 g4146
 I5511 g4143
 I8854 g6720
 I8623 g6585
 I8806 g6696
 g6696 I8854
 g908 I2272
 g6851 g2085 g6855
 g6855 I9125
 g4614 g4822
 g4822 I6783
 I3215 g2097
 g2097 I4424
 g6889 I9152
 I9152 g6895
 g1787 I2919
 I2919 g1835
 I2805 g1770
 g1770 I3040
 g6786 g6822
 g6822 g6837
 g5494 g3280 g5624
 g5624 I7466
 I4173 g2974
 g2974 I4809
 g2861 I4757
 I4757 g3537
 I6956 g5304
 g5304 g5457
 g5631 g5824
 g5824 g6062
 g3599 I5343
 I5343 g4040
 I5562 g4162
 g4162 I6001
 I6995 g5331
 g5331 g5549
 I4288 g3063
 g3063 I4477
 I4809 g3612
 g676 g5060 g5318
 g5318 I7055
 I3093 g1982
 g1982 g2892
 g3108 g3638
 g3638 I5264
 g696 I2225
 g3967 I5451
 g3310 g2720 g4086
 g4086 g4323
 g667 I1932
 I1932 g908
 g157 g3773 g4346
 g4346 I5933
 g6249 g6090 g6294
 g6294 I8252
 g658 g971
 g971 I2473
 g5227 g669 g5386
 g5386 I7333
 g6263 g6647 g6688
 g6688 I8812
 g638 g985
 g985 g1674
 g1039 g913 g1422
 g1422 I3528
 g6754 g6750 g6774
 g6774 I8958
 I4527 I4528 g3246
 g3246 I5050
 g2705 I4501
 I2215 g1209
 g1209 I2324
 g2040 I4133
 I4133 g2945
 g4790 I6775
 I6775 g5121
 g306 g889 g1398
 g1398 g1997
 g2254 I4375
 I4375 g3128
 g5883 g5996 g6110
 g6110 I8005
 I2122 g1094
 g1094 g1541
 I7267 g5527
 g5527 g5670
 I3481 g2327
 g2327 g2738
 g6838 I9047
 g4397 I6096
 I6096 g4528
 g1647 I3379
 I3379 g2244
 g5729 g5946
 g5946 g6192
 g2044 I3864
 I3864 g2709
 g1160 I2349
 I2349 g1332
 g4399 I6102
